onbook_date,price,cont_vol_ask,cont_vol_bid,close_vol_ask,close_vol_bid,cum_ask,cum_bid,total,,difference,
03/01/2019,17.67,,,120,,4508047, 944'248.00 , 5'452'295.00 , -1'319'270.00 , 3'563'799.00 , 3'554'785.00 
03/01/2019,17.69,,1500,682,1500,4507927, 945'748.00 , 5'453'675.00 , -1'317'890.00 , 3'562'179.00 , 3'553'165.00 
03/01/2019,17.7,,25645,,25645,4507245, 971'393.00 , 5'478'638.00 , -1'292'927.00 , 3'535'852.00 , 3'526'838.00 
03/01/2019,17.705,,,5084,,4507245, 971'393.00 , 5'478'638.00 , -1'292'927.00 , 3'535'852.00 , 3'526'838.00 
03/01/2019,17.72,,1500,,1500,4502161, 972'893.00 , 5'475'054.00 , -1'296'511.00 , 3'529'268.00 , 3'520'254.00 
03/01/2019,17.745,,56,,56,4502161, 972'949.00 , 5'475'110.00 , -1'296'455.00 , 3'529'212.00 , 3'520'198.00 
03/01/2019,17.75,,1580,,1580,4502161, 974'529.00 , 5'476'690.00 , -1'294'875.00 , 3'527'632.00 , 3'518'618.00 
03/01/2019,17.77,,1200,,1200,4502161, 975'729.00 , 5'477'890.00 , -1'293'675.00 , 3'526'432.00 , 3'517'418.00 
03/01/2019,17.78,,1500,,1500,4502161, 977'229.00 , 5'479'390.00 , -1'292'175.00 , 3'524'932.00 , 3'515'918.00 
03/01/2019,17.8,,3600,,3600,4502161, 980'829.00 , 5'482'990.00 , -1'288'575.00 , 3'521'332.00 , 3'512'318.00 
03/01/2019,17.81,,1500,,1500,4502161, 982'329.00 , 5'484'490.00 , -1'287'075.00 , 3'519'832.00 , 3'510'818.00 
03/01/2019,17.82,,1000,,1000,4502161, 983'329.00 , 5'485'490.00 , -1'286'075.00 , 3'518'832.00 , 3'509'818.00 
03/01/2019,17.84,,1500,,1500,4502161, 984'829.00 , 5'486'990.00 , -1'284'575.00 , 3'517'332.00 , 3'508'318.00 
03/01/2019,17.87,,1500,,1500,4502161, 986'329.00 , 5'488'490.00 , -1'283'075.00 , 3'515'832.00 , 3'506'818.00 
03/01/2019,17.9,,2550,1828,2550,4502161, 988'879.00 , 5'491'040.00 , -1'280'525.00 , 3'513'282.00 , 3'504'268.00 
03/01/2019,17.915,,,74530,,4500333, 988'879.00 , 5'489'212.00 , -1'282'353.00 , 3'511'454.00 , 3'502'440.00 
03/01/2019,17.925,,,2357,,4425803, 988'879.00 , 5'414'682.00 , -1'356'883.00 , 3'436'924.00 , 3'427'910.00 
03/01/2019,17.93,,1500,,1500,4423446, 990'379.00 , 5'413'825.00 , -1'357'740.00 , 3'433'067.00 , 3'424'053.00 
03/01/2019,17.945,,,5635,,4423446, 990'379.00 , 5'413'825.00 , -1'357'740.00 , 3'433'067.00 , 3'424'053.00 
03/01/2019,17.95,,5000,,5000,4417811, 995'379.00 , 5'413'190.00 , -1'358'375.00 , 3'422'432.00 , 3'413'418.00 
03/01/2019,17.955,,,104475,,4417811, 995'379.00 , 5'413'190.00 , -1'358'375.00 , 3'422'432.00 , 3'413'418.00 
03/01/2019,17.96,,1500,,1500,4313336, 996'879.00 , 5'310'215.00 , -1'461'350.00 , 3'316'457.00 , 3'307'443.00 
03/01/2019,17.965,,,58028,11530,4313336, 1'008'409.00 , 5'321'745.00 , -1'449'820.00 , 3'304'927.00 , 3'295'913.00 
03/01/2019,17.97,,,13206,,4255308, 1'008'409.00 , 5'263'717.00 , -1'507'848.00 , 3'246'899.00 , 3'237'885.00 
03/01/2019,17.975,,,,24644,4242102, 1'033'053.00 , 5'275'155.00 , -1'496'410.00 , 3'209'049.00 , 3'200'035.00 
03/01/2019,17.99,,1500,,15337,4242102, 1'048'390.00 , 5'290'492.00 , -1'481'073.00 , 3'193'712.00 , 3'184'698.00 
03/01/2019,18,,49474,20000,49824,4242102, 1'098'214.00 , 5'340'316.00 , -1'431'249.00 , 3'143'888.00 , 3'134'874.00 
03/01/2019,18.01,,1350,,1350,4222102, 1'099'564.00 , 5'321'666.00 , -1'449'899.00 , 3'122'538.00 , 3'113'524.00 
03/01/2019,18.02,,1500,,39979,4222102, 1'139'543.00 , 5'361'645.00 , -1'409'920.00 , 3'082'559.00 , 3'073'545.00 
03/01/2019,18.025,,,,174000,4222102, 1'313'543.00 , 5'535'645.00 , -1'235'920.00 , 2'908'559.00 , 2'899'545.00 
03/01/2019,18.03,,220,,220,4222102, 1'313'763.00 , 5'535'865.00 , -1'235'700.00 , 2'908'339.00 , 2'899'325.00 
03/01/2019,18.04,,60,,60,4222102, 1'313'823.00 , 5'535'925.00 , -1'235'640.00 , 2'908'279.00 , 2'899'265.00 
03/01/2019,18.045,,,697,,4222102, 1'313'823.00 , 5'535'925.00 , -1'235'640.00 , 2'908'279.00 , 2'899'265.00 
03/01/2019,18.05,,1500,,13111,4221405, 1'326'934.00 , 5'548'339.00 , -1'223'226.00 , 2'894'471.00 , 2'885'457.00 
03/01/2019,18.055,,,23,,4221405, 1'326'934.00 , 5'548'339.00 , -1'223'226.00 , 2'894'471.00 , 2'885'457.00 
03/01/2019,18.065,,,,21905,4221382, 1'348'839.00 , 5'570'221.00 , -1'201'344.00 , 2'872'543.00 , 2'863'529.00 
03/01/2019,18.075,,,22533,13836,4221382, 1'362'675.00 , 5'584'057.00 , -1'187'508.00 , 2'858'707.00 , 2'849'693.00 
03/01/2019,18.08,,6500,,6500,4198849, 1'369'175.00 , 5'568'024.00 , -1'203'541.00 , 2'829'674.00 , 2'820'660.00 
03/01/2019,18.085,,,156670,,4198849, 1'369'175.00 , 5'568'024.00 , -1'203'541.00 , 2'829'674.00 , 2'820'660.00 
03/01/2019,18.1,,8418,2118,10325,4042179, 1'379'500.00 , 5'421'679.00 , -1'349'886.00 , 2'662'679.00 , 2'653'665.00 
03/01/2019,18.105,,,,33436,4040061, 1'412'936.00 , 5'452'997.00 , -1'318'568.00 , 2'627'125.00 , 2'618'111.00 
03/01/2019,18.11,,4000,,4000,4040061, 1'416'936.00 , 5'456'997.00 , -1'314'568.00 , 2'623'125.00 , 2'614'111.00 
03/01/2019,18.13,,,,13836,4040061, 1'430'772.00 , 5'470'833.00 , -1'300'732.00 , 2'609'289.00 , 2'600'275.00 
03/01/2019,18.135,,1414,,,4040061, 1'430'772.00 , 5'470'833.00 , -1'300'732.00 , 2'609'289.00 , 2'600'275.00 
03/01/2019,18.14,,1500,10372,1500,4040061, 1'432'272.00 , 5'472'333.00 , -1'299'232.00 , 2'607'789.00 , 2'598'775.00 
03/01/2019,18.145,,1645,,21906,4029689, 1'454'178.00 , 5'483'867.00 , -1'287'698.00 , 2'575'511.00 , 2'566'497.00 
03/01/2019,18.15,,82,792,82,4029689, 1'454'260.00 , 5'483'949.00 , -1'287'616.00 , 2'575'429.00 , 2'566'415.00 
03/01/2019,18.16,,,,11531,4028897, 1'465'791.00 , 5'494'688.00 , -1'276'877.00 , 2'563'106.00 , 2'554'092.00 
03/01/2019,18.165,,,,340,4028897, 1'466'131.00 , 5'495'028.00 , -1'276'537.00 , 2'562'766.00 , 2'553'752.00 
03/01/2019,18.17,,1500,,1500,4028897, 1'467'631.00 , 5'496'528.00 , -1'275'037.00 , 2'561'266.00 , 2'552'252.00 
03/01/2019,18.18,,,,842,4028897, 1'468'473.00 , 5'497'370.00 , -1'274'195.00 , 2'560'424.00 , 2'551'410.00 
03/01/2019,18.185,,,,33004,4028897, 1'501'477.00 , 5'530'374.00 , -1'241'191.00 , 2'527'420.00 , 2'518'406.00 
03/01/2019,18.195,,,,342,4028897, 1'501'819.00 , 5'530'716.00 , -1'240'849.00 , 2'527'078.00 , 2'518'064.00 
03/01/2019,18.2,,2000,,2000,4028897, 1'503'819.00 , 5'532'716.00 , -1'238'849.00 , 2'525'078.00 , 2'516'064.00 
03/01/2019,18.21,,2500,,2841,4028897, 1'506'660.00 , 5'535'557.00 , -1'236'008.00 , 2'522'237.00 , 2'513'223.00 
03/01/2019,18.215,,,,11530,4028897, 1'518'190.00 , 5'547'087.00 , -1'224'478.00 , 2'510'707.00 , 2'501'693.00 
03/01/2019,18.22,,50,,19217,4028897, 1'537'407.00 , 5'566'304.00 , -1'205'261.00 , 2'491'490.00 , 2'482'476.00 
03/01/2019,18.225,,,,342,4028897, 1'537'749.00 , 5'566'646.00 , -1'204'919.00 , 2'491'148.00 , 2'482'134.00 
03/01/2019,18.23,,1500,,1500,4028897, 1'539'249.00 , 5'568'146.00 , -1'203'419.00 , 2'489'648.00 , 2'480'634.00 
03/01/2019,18.235,,8145,,,4028897, 1'539'249.00 , 5'568'146.00 , -1'203'419.00 , 2'489'648.00 , 2'480'634.00 
03/01/2019,18.24,,3062,1699,22835,4028897, 1'562'084.00 , 5'590'981.00 , -1'180'584.00 , 2'466'813.00 , 2'457'799.00 
03/01/2019,18.245,,,46986,,4027198, 1'562'084.00 , 5'589'282.00 , -1'182'283.00 , 2'465'114.00 , 2'456'100.00 
03/01/2019,18.25,,200,,200,3980212, 1'562'284.00 , 5'542'496.00 , -1'229'069.00 , 2'417'928.00 , 2'408'914.00 
03/01/2019,18.255,,,,16771,3980212, 1'579'055.00 , 5'559'267.00 , -1'212'298.00 , 2'401'157.00 , 2'392'143.00 
03/01/2019,18.26,,4500,,4500,3980212, 1'583'555.00 , 5'563'767.00 , -1'207'798.00 , 2'396'657.00 , 2'387'643.00 
03/01/2019,18.27,,,,14177,3980212, 1'597'732.00 , 5'577'944.00 , -1'193'621.00 , 2'382'480.00 , 2'373'466.00 
03/01/2019,18.285,,1500,,26929,3980212, 1'624'661.00 , 5'604'873.00 , -1'166'692.00 , 2'355'551.00 , 2'346'537.00 
03/01/2019,18.29,,3103,,41,3980212, 1'624'702.00 , 5'604'914.00 , -1'166'651.00 , 2'355'510.00 , 2'346'496.00 
